Sentence,Word,Start_Time,End_Time,Mean_F0,SpeakerID,Country,Gender,Age
"Il travaille en France, mais il n'est pas français.",Il,0.36802,0.491,225.37645119028844,Speaker6,France,Female,21
"Il travaille en France, mais il n'est pas français.",travaille,0.491,0.941,240.02977894653006,Speaker6,France,Female,21
"Il travaille en France, mais il n'est pas français.",en,1.041,1.121,224.57514558396406,Speaker6,France,Female,21
"Il travaille en France, mais il n'est pas français.","France,",1.121,1.731,238.3819556518669,Speaker6,France,Female,21
"Il travaille en France, mais il n'est pas français.",mais,2.101,2.271,214.95378824400623,Speaker6,France,Female,21
"Il travaille en France, mais il n'est pas français.",il,2.271,2.331,211.4725072627138,Speaker6,France,Female,21
"Il travaille en France, mais il n'est pas français.",n'est,2.331,2.471,205.255362142635,Speaker6,France,Female,21
"Il travaille en France, mais il n'est pas français.",pas,2.471,2.641,225.83165648262738,Speaker6,France,Female,21
"Il travaille en France, mais il n'est pas français.",français.,2.641,3.08403,210.08628296936342,Speaker6,France,Female,21
Je suis français et je viens de la Bretagne.,Je,0.25,0.35,230.28465522149168,Speaker6,France,Female,21
Je suis français et je viens de la Bretagne.,suis,0.35,0.56,231.1154300781976,Speaker6,France,Female,21
Je suis français et je viens de la Bretagne.,français,0.56,1.04,209.35917358439121,Speaker6,France,Female,21
Je suis français et je viens de la Bretagne.,et,1.39,1.46,222.54737630919092,Speaker6,France,Female,21
Je suis français et je viens de la Bretagne.,je,1.46,1.59,208.19378693487815,Speaker6,France,Female,21
Je suis français et je viens de la Bretagne.,viens,1.59,1.75,213.85417811714373,Speaker6,France,Female,21
Je suis français et je viens de la Bretagne.,de,1.75,1.87,199.5167589769839,Speaker6,France,Female,21
Je suis français et je viens de la Bretagne.,la,1.87,1.94,184.4273932590965,Speaker6,France,Female,21
Je suis français et je viens de la Bretagne.,Bretagne.,1.94,2.51795,188.23597819646946,Speaker6,France,Female,21
Ces chaussures ne m’ont coûté que 50 euros!,Ces,0.25,0.36,239.0742116113571,Speaker6,France,Female,21
Ces chaussures ne m’ont coûté que 50 euros!,chaussures,0.36,0.91,245.44580268862774,Speaker6,France,Female,21
Ces chaussures ne m’ont coûté que 50 euros!,ne,0.91,1.05,212.91697360819003,Speaker6,France,Female,21
Ces chaussures ne m’ont coûté que 50 euros!,m’ont,1.05,1.14,212.68710187131106,Speaker6,France,Female,21
Ces chaussures ne m’ont coûté que 50 euros!,coûté,1.14,1.46,240.5300458203788,Speaker6,France,Female,21
Ces chaussures ne m’ont coûté que 50 euros!,que,1.46,1.59,217.63618081027676,Speaker6,France,Female,21
Ces chaussures ne m’ont coûté que 50 euros!,50,1.59,1.98,260.71429252793826,Speaker6,France,Female,21
Ces chaussures ne m’ont coûté que 50 euros!,euros!,1.98,2.2078,215.93950275962115,Speaker6,France,Female,21
"Paris, c'est le cœur du pays.","Paris,",0.25,0.62,241.1047958128916,Speaker6,France,Female,21
"Paris, c'est le cœur du pays.",c'est,0.78,0.89,239.2036346306798,Speaker6,France,Female,21
"Paris, c'est le cœur du pays.",le,0.89,0.98,216.37457540599348,Speaker6,France,Female,21
"Paris, c'est le cœur du pays.",cœur,1.03,1.21,230.6705980581999,Speaker6,France,Female,21
"Paris, c'est le cœur du pays.",du,1.21,1.32,209.5525186408015,Speaker6,France,Female,21
"Paris, c'est le cœur du pays.",pays.,1.35,1.61,195.19353011373414,Speaker6,France,Female,21
"Si tu viens, nous pourrons commencer.",Si,0.25,0.36,267.8611888523674,Speaker6,France,Female,21
"Si tu viens, nous pourrons commencer.",tu,0.36,0.52,274.01532577146907,Speaker6,France,Female,21
"Si tu viens, nous pourrons commencer.","viens,",0.52,0.84,225.5179207682681,Speaker6,France,Female,21
"Si tu viens, nous pourrons commencer.",nous,0.99,1.05,209.51326252622246,Speaker6,France,Female,21
"Si tu viens, nous pourrons commencer.",pourrons,1.11,1.37,220.5831114112384,Speaker6,France,Female,21
"Si tu viens, nous pourrons commencer.",commencer.,1.37,1.83,224.85766005457572,Speaker6,France,Female,21
Nous avons beaucoup marché aujourd’hui!,Nous,0.25,0.35,215.87322465454145,Speaker6,France,Female,21
Nous avons beaucoup marché aujourd’hui!,avons,0.35,0.57,222.43928285657958,Speaker6,France,Female,21
Nous avons beaucoup marché aujourd’hui!,beaucoup,0.57,0.83,249.60451724981152,Speaker6,France,Female,21
Nous avons beaucoup marché aujourd’hui!,marché,0.83,1.21,265.23256122546104,Speaker6,France,Female,21
Nous avons beaucoup marché aujourd’hui!,aujourd’hui!,1.21,1.64,206.8203298687087,Speaker6,France,Female,21
"Nous irons soit à la piscine, soit au cinéma.",Nous,0.25,0.42,210.0299295296035,Speaker6,France,Female,21
"Nous irons soit à la piscine, soit au cinéma.",irons,0.42,0.76,200.06434370107925,Speaker6,France,Female,21
"Nous irons soit à la piscine, soit au cinéma.",soit,0.76,0.97,248.29331082090138,Speaker6,France,Female,21
"Nous irons soit à la piscine, soit au cinéma.",à,0.97,1.01,250.59223650026038,Speaker6,France,Female,21
"Nous irons soit à la piscine, soit au cinéma.",la,1.01,1.12,239.21500342866398,Speaker6,France,Female,21
"Nous irons soit à la piscine, soit au cinéma.","piscine,",1.12,1.63,218.2447102581905,Speaker6,France,Female,21
"Nous irons soit à la piscine, soit au cinéma.",soit,1.8,1.97,267.41096350358475,Speaker6,France,Female,21
"Nous irons soit à la piscine, soit au cinéma.",au,1.97,2.01,270.6700110553935,Speaker6,France,Female,21
"Nous irons soit à la piscine, soit au cinéma.",cinéma.,2.01,2.46037,208.6443968304654,Speaker6,France,Female,21
Pouvez-vous parler plus lentement s’il vous plaît?,Pouvez-vous,0.25,0.50589,237.15733229947364,Speaker6,France,Female,21
Pouvez-vous parler plus lentement s’il vous plaît?,parler,0.50589,0.77,230.35775344695855,Speaker6,France,Female,21
Pouvez-vous parler plus lentement s’il vous plaît?,plus,0.77,0.92,248.14864430700516,Speaker6,France,Female,21
Pouvez-vous parler plus lentement s’il vous plaît?,lentement,0.92,1.29,222.1738573758324,Speaker6,France,Female,21
Pouvez-vous parler plus lentement s’il vous plaît?,s’il,1.29,1.47,295.81182495072676,Speaker6,France,Female,21
Pouvez-vous parler plus lentement s’il vous plaît?,vous,1.47,1.55,284.40095077039905,Speaker6,France,Female,21
